CustomerID,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
12346.0,325,1,77183.6,3.76,17.23,17.23,0.76,Lost Customers
12347.0,2,7,4310.0,96.17,85.53,85.53,4.36,High value Customers
12348.0,75,4,1797.24,38.08,69.85,69.85,3.25,Medium Value Customers
12349.0,18,1,1757.55,74.26,17.23,17.23,1.29,Lost Customers
12350.0,310,1,334.4,5.26,17.23,17.23,0.77,Lost Customers
12352.0,36,8,2506.04,57.9,88.3,88.3,4.19,High value Customers
12353.0,204,1,89.0,16.79,17.23,17.23,0.86,Lost Customers
12354.0,232,1,1079.4,13.94,17.23,17.23,0.84,Lost Customers
12355.0,214,1,459.4,15.56,17.23,17.23,0.85,Lost Customers
12356.0,22,3,2811.43,70.28,59.54,59.54,3.06,Medium Value Customers
12357.0,33,1,6207.67,59.49,17.23,17.23,1.18,Lost Customers
12358.0,1,2,1168.06,98.4,44.07,44.07,2.61,Low Value Customers
12359.0,57,4,6310.03,46.9,69.85,69.85,3.32,Medium Value Customers
12360.0,52,3,2662.06,49.07,59.54,59.54,2.9,Low Value Customers
12361.0,287,1,189.9,7.25,17.23,17.23,0.79,Lost Customers
12362.0,3,10,5226.23,94.04,91.62,91.62,4.6,Top Customers
12363.0,109,2,552.0,29.94,44.07,44.07,2.1,Low Value Customers
12364.0,7,4,1313.1,88.84,69.85,69.85,3.64,Medium Value Customers
12365.0,291,2,641.38,6.76,44.07,44.07,1.92,Low Value Customers
12367.0,4,1,168.9,91.87,17.23,17.23,1.42,Lost Customers
12370.0,51,4,3541.94,49.71,69.85,69.85,3.34,Medium Value Customers
12371.0,44,2,1887.96,53.29,44.07,44.07,2.27,Low Value Customers
12372.0,71,3,1298.04,40.33,59.54,59.54,2.83,Low Value Customers
12373.0,311,1,364.6,5.07,17.23,17.23,0.77,Lost Customers
12374.0,25,1,742.93,66.51,17.23,17.23,1.23,Lost Customers
12375.0,10,2,457.5,83.64,44.07,44.07,2.5,Low Value Customers
12377.0,315,2,1628.12,4.67,44.07,44.07,1.91,Low Value Customers
12378.0,129,1,4008.62,26.87,17.23,17.23,0.93,Lost Customers
12379.0,81,2,852.24,35.85,44.07,44.07,2.14,Low Value Customers
12380.0,21,4,2724.81,71.65,69.85,69.85,3.51,Medium Value Customers
12381.0,4,5,1845.31,91.87,77.11,77.11,3.97,Medium Value Customers
12383.0,184,5,1850.56,19.48,77.11,77.11,3.42,Medium Value Customers
12384.0,28,2,585.27,64.54,44.07,44.07,2.36,Low Value Customers
12386.0,337,2,401.9,2.86,44.07,44.07,1.89,Low Value Customers
12388.0,15,6,2780.66,78.66,81.9,81.9,4.07,High value Customers
12390.0,79,1,549.84,36.56,17.23,17.23,1.01,Lost Customers
12391.0,21,1,439.66,71.65,17.23,17.23,1.27,Lost Customers
12393.0,72,4,1582.6,39.67,69.85,69.85,3.27,Medium Value Customers
12394.0,63,2,1272.48,43.95,44.07,44.07,2.2,Low Value Customers
12395.0,19,12,3018.63,72.96,93.96,93.96,4.54,Top Customers
12397.0,35,2,2409.9,58.68,44.07,44.07,2.31,Low Value Customers
12398.0,45,1,1635.66,52.67,17.23,17.23,1.13,Lost Customers
12399.0,119,4,1108.65,28.37,69.85,69.85,3.18,Medium Value Customers
12401.0,303,1,84.3,5.9,17.23,17.23,0.78,Lost Customers
12402.0,323,1,225.6,3.91,17.23,17.23,0.76,Lost Customers
12403.0,49,1,427.7,51.2,17.23,17.23,1.12,Lost Customers
12405.0,148,1,1710.39,24.39,17.23,17.23,0.92,Lost Customers
12406.0,22,2,3415.3,70.28,44.07,44.07,2.4,Low Value Customers
12407.0,49,5,1708.12,51.2,77.11,77.11,3.66,Medium Value Customers
12408.0,32,5,2888.55,60.33,77.11,77.11,3.73,Medium Value Customers
12409.0,78,3,11072.67,37.09,59.54,59.54,2.81,Low Value Customers
12410.0,308,2,693.33,5.52,44.07,44.07,1.91,Low Value Customers
12412.0,74,3,1226.88,38.59,59.54,59.54,2.82,Low Value Customers
12413.0,66,3,758.1,42.01,59.54,59.54,2.85,Low Value Customers
12414.0,217,3,562.41,15.25,59.54,59.54,2.64,Low Value Customers
12415.0,24,21,124914.53,67.62,97.95,97.95,4.67,Top Customers
12417.0,3,9,3649.1,94.04,90.22,90.22,4.54,Top Customers
12418.0,112,1,668.58,29.56,17.23,17.23,0.95,Lost Customers
12420.0,63,1,600.39,43.95,17.23,17.23,1.06,Lost Customers
12421.0,15,4,807.04,78.66,69.85,69.85,3.56,Medium Value Customers
12422.0,95,3,803.56,32.4,59.54,59.54,2.77,Low Value Customers
12423.0,0,8,1859.31,100.0,88.3,88.3,4.5,High value Customers
12424.0,162,2,1760.96,22.43,44.07,44.07,2.04,Low Value Customers
12425.0,78,1,777.2,37.09,17.23,17.23,1.01,Lost Customers
12426.0,194,1,582.73,18.05,17.23,17.23,0.87,Lost Customers
12427.0,21,3,825.8,71.65,59.54,59.54,3.07,Medium Value Customers
12428.0,25,9,7956.46,66.51,90.22,90.22,4.33,High value Customers
12429.0,9,4,3750.4,85.35,69.85,69.85,3.61,Medium Value Customers
12430.0,43,1,256.4,53.96,17.23,17.23,1.14,Lost Customers
12431.0,35,15,6419.95,58.68,95.96,95.96,4.52,Top Customers
12432.0,42,5,5059.32,54.53,77.11,77.11,3.69,Medium Value Customers
12433.0,0,7,13375.87,100.0,85.53,85.53,4.38,High value Customers
12434.0,84,2,806.14,35.33,44.07,44.07,2.14,Low Value Customers
12435.0,79,2,7829.89,36.56,44.07,44.07,2.15,Low Value Customers
12436.0,99,1,509.01,31.71,17.23,17.23,0.97,Lost Customers
12437.0,1,18,4951.41,98.4,97.11,97.11,4.87,Top Customers
