CustomerID,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
12346.0,325,1,77183.6,3.65,17.24,17.24,0.76,Lost Customers
12747.0,2,11,4196.01,96.08,92.74,92.74,4.66,Top Customers
12748.0,0,210,33053.19,100.0,100.0,100.0,5.0,Top Customers
12749.0,3,5,4090.88,93.96,77.07,77.07,3.98,Medium Value Customer
12820.0,3,4,942.34,93.96,69.83,69.83,3.67,Medium Value Customer
12821.0,214,1,92.72,15.41,17.24,17.24,0.85,Lost Customers
12822.0,70,2,948.88,40.72,43.98,43.98,2.17,Low Value Customers
12823.0,74,5,1759.5,38.41,77.07,77.07,3.56,Medium Value Customer
12824.0,59,1,397.12,45.59,17.24,17.24,1.07,Lost Customers
12826.0,2,7,1474.72,96.08,85.53,85.53,4.36,High value Customer
12827.0,5,3,430.15,90.13,59.42,59.42,3.2,Medium Value Customer
12828.0,2,6,1018.71,96.08,81.85,81.85,4.2,High value Customer
12829.0,336,2,293.0,2.9,43.98,43.98,1.89,Low Value Customers
12830.0,37,6,6814.64,57.15,81.85,81.85,3.91,Medium Value Customer
12831.0,262,1,215.05,9.87,17.24,17.24,0.81,Lost Customers
12832.0,32,2,383.03,60.32,43.98,43.98,2.32,Low Value Customers
12833.0,145,1,417.38,24.75,17.24,17.24,0.92,Lost Customers
12834.0,282,1,312.38,7.38,17.24,17.24,0.79,Lost Customers
12836.0,59,4,2610.36,45.59,69.83,69.83,3.31,Medium Value Customer
12837.0,173,1,134.1,20.83,17.24,17.24,0.89,Lost Customers
12838.0,33,2,671.95,59.48,43.98,43.98,2.32,Low Value Customers
12839.0,2,14,5591.42,96.08,95.37,95.37,4.77,Top Customers
12840.0,143,4,2726.77,24.99,69.83,69.83,3.16,Medium Value Customer
12841.0,4,25,3991.58,91.79,98.47,98.47,4.87,Top Customers
12842.0,70,2,1118.99,40.72,43.98,43.98,2.17,Low Value Customers
12843.0,65,8,1702.26,42.43,88.29,88.29,4.07,High value Customer
12844.0,29,2,325.96,63.49,43.98,43.98,2.35,Low Value Customers
12845.0,267,4,354.09,9.0,69.83,69.83,3.04,Medium Value Customer
12847.0,22,1,843.64,70.25,17.24,17.24,1.26,Lost Customers
12849.0,31,2,1010.29,61.31,43.98,43.98,2.33,Low Value Customers
12851.0,96,1,131.81,32.07,17.24,17.24,0.97,Lost Customers
12852.0,294,1,311.55,6.42,17.24,17.24,0.78,Lost Customers
12853.0,134,6,1957.1,26.14,81.85,81.85,3.67,Medium Value Customer
12854.0,78,3,1316.25,36.92,59.42,59.42,2.8,Low Value Customers
12855.0,372,1,38.1,0.64,17.24,17.24,0.74,Lost Customers
12856.0,7,6,2170.78,88.77,81.85,81.85,4.14,High value Customer
12857.0,210,2,1106.4,16.16,43.98,43.98,1.99,Low Value Customers
12863.0,52,1,521.2,48.92,17.24,17.24,1.1,Lost Customers
12864.0,138,1,147.12,25.55,17.24,17.24,0.92,Lost Customers
12867.0,26,7,4009.34,65.45,85.53,85.53,4.13,High value Customer
12868.0,185,6,1607.06,19.17,81.85,81.85,3.62,Medium Value Customer
12871.0,84,2,380.64,35.33,43.98,43.98,2.13,Low Value Customers
12872.0,326,2,599.97,3.53,43.98,43.98,1.9,Low Value Customers
12873.0,282,1,374.0,7.38,17.24,17.24,0.79,Lost Customers
12875.0,143,2,343.23,24.99,43.98,43.98,2.06,Low Value Customers
12877.0,3,12,1535.77,93.96,93.88,93.88,4.69,Top Customers
12878.0,236,2,854.99,13.14,43.98,43.98,1.97,Low Value Customers
12879.0,44,3,573.22,53.28,59.42,59.42,2.93,Low Value Customers
12881.0,275,1,298.0,8.14,17.24,17.24,0.79,Lost Customers
12882.0,9,2,1463.04,85.25,43.98,43.98,2.51,Low Value Customers
12883.0,24,4,703.47,67.63,69.83,69.83,3.47,Medium Value Customer
12884.0,88,1,309.05,34.0,17.24,17.24,0.99,Lost Customers
12885.0,63,3,1175.22,43.85,59.42,59.42,2.85,Low Value Customers
12886.0,67,2,1378.4,41.36,43.98,43.98,2.18,Low Value Customers
12888.0,214,2,354.12,15.41,43.98,43.98,1.98,Low Value Customers
12890.0,24,1,376.72,67.63,17.24,17.24,1.24,Lost Customers
12891.0,185,3,331.0,19.17,59.42,59.42,2.67,Low Value Customers
12893.0,30,1,176.55,62.38,17.24,17.24,1.2,Lost Customers
12895.0,42,2,372.8,54.52,43.98,43.98,2.28,Low Value Customers
12897.0,204,2,216.5,16.62,43.98,43.98,1.99,Low Value Customers
12901.0,8,28,17654.54,86.99,98.89,98.89,4.86,Top Customers
12902.0,264,1,138.68,9.48,17.24,17.24,0.8,Lost Customers
12904.0,18,2,496.06,74.06,43.98,43.98,2.42,Low Value Customers
12906.0,11,5,2919.81,81.94,77.07,77.07,3.89,Medium Value Customer
12908.0,176,2,750.0,20.47,43.98,43.98,2.02,Low Value Customers
12909.0,39,5,2178.67,55.98,77.07,77.07,3.7,Medium Value Customer
12910.0,23,8,3075.04,68.92,88.29,88.29,4.27,High value Customer
12912.0,2,5,1662.3,96.08,77.07,77.07,4.0,Medium Value Customer
12913.0,4,5,2483.63,91.79,77.07,77.07,3.96,Medium Value Customer
12915.0,148,2,363.65,24.49,43.98,43.98,2.05,Low Value Customers
12916.0,138,4,2944.95,25.55,69.83,69.83,3.16,Medium Value Customer
12917.0,128,1,594.0,27.11,17.24,17.24,0.94,Lost Customers
12919.0,8,6,1335.19,86.99,81.85,81.85,4.13,High value Customer
12920.0,17,1,162.78,75.53,17.24,17.24,1.3,Lost Customers
12921.0,9,37,16587.09,85.25,99.36,99.36,4.86,Top Customers
12922.0,161,1,405.38,22.64,17.24,17.24,0.9,Lost Customers
12923.0,64,1,172.82,43.16,17.24,17.24,1.06,Lost Customers
12924.0,88,4,933.7,34.0,69.83,69.83,3.22,Medium Value Customer
12925.0,4,2,694.05,91.79,43.98,43.98,2.56,Low Value Customers
12928.0,35,5,2062.7,58.68,77.07,77.07,3.72,Medium Value Customer
12929.0,311,1,117.85,4.88,17.24,17.24,0.77,Lost Customers
12930.0,78,2,415.8,36.92,43.98,43.98,2.15,Low Value Customers
12931.0,21,15,42055.96,71.49,95.92,95.92,4.61,Top Customers
12933.0,24,3,607.53,67.63,59.42,59.42,3.03,Medium Value Customer
12935.0,2,7,2160.7,96.08,85.53,85.53,4.36,High value Customer
12936.0,17,4,1063.9,75.53,69.83,69.83,3.53,Medium Value Customer
12937.0,15,4,1504.27,78.48,69.83,69.83,3.56,Medium Value Customer
12938.0,25,1,114.14,66.47,17.24,17.24,1.23,Lost Customers
12939.0,64,8,11581.8,43.16,88.29,88.29,4.08,High value Customer
12940.0,54,2,899.69,47.66,43.98,43.98,2.23,Low Value Customers
12942.0,131,3,675.6,26.6,59.42,59.42,2.73,Low Value Customers
12944.0,35,2,604.51,58.68,43.98,43.98,2.31,Low Value Customers
12945.0,288,1,462.95,6.83,17.24,17.24,0.78,Lost Customers
12947.0,143,6,1603.99,24.99,81.85,81.85,3.67,Medium Value Customer
12948.0,16,7,2064.95,77.1,85.53,85.53,4.21,High value Customer
12949.0,30,8,4167.22,62.38,88.29,88.29,4.22,High value Customer
12950.0,2,3,1843.0,96.08,59.42,59.42,3.25,Medium Value Customer
12951.0,8,6,1064.07,86.99,81.85,81.85,4.13,High value Customer
12952.0,5,4,1387.79,90.13,69.83,69.83,3.64,Medium Value Customer
12953.0,9,1,329.85,85.25,17.24,17.24,1.37,Lost Customers
12955.0,1,11,4757.16,98.39,92.74,92.74,4.68,Top Customers
12956.0,306,1,108.07,5.43,17.24,17.24,0.77,Lost Customers
12957.0,9,8,4017.54,85.25,88.29,88.29,4.39,High value Customer
12962.0,7,2,266.39,88.77,43.98,43.98,2.53,Low Value Customers
12963.0,8,8,1856.63,86.99,88.29,88.29,4.4,High value Customer
12965.0,89,1,769.81,33.63,17.24,17.24,0.98,Lost Customers
12966.0,9,1,160.18,85.25,17.24,17.24,1.37,Lost Customers
12967.0,358,2,1660.9,2.39,43.98,43.98,1.89,Low Value Customers
12968.0,112,1,135.95,29.6,17.24,17.24,0.95,Lost Customers
12970.0,7,4,405.47,88.77,69.83,69.83,3.63,Medium Value Customer
12971.0,3,86,11189.91,93.96,99.87,99.87,4.95,Top Customers
12974.0,197,1,144.8,17.56,17.24,17.24,0.86,Lost Customers
12976.0,211,1,738.6,16.01,17.24,17.24,0.85,Lost Customers
12977.0,156,1,39.24,23.37,17.24,17.24,0.91,Lost Customers
12980.0,157,9,7374.9,23.11,90.18,90.18,4.01,High value Customer
12981.0,29,2,372.22,63.49,43.98,43.98,2.35,Low Value Customers
12982.0,242,1,390.54,12.28,17.24,17.24,0.82,Lost Customers
12984.0,18,1,97.5,74.06,17.24,17.24,1.29,Lost Customers
12985.0,0,2,1239.38,100.0,43.98,43.98,2.62,Low Value Customers
12987.0,73,2,558.7,38.94,43.98,43.98,2.16,Low Value Customers
12988.0,292,1,505.82,6.47,17.24,17.24,0.78,Lost Customers
12989.0,3,15,6924.11,93.96,95.92,95.92,4.78,Top Customers
12990.0,31,3,409.5,61.31,59.42,59.42,2.99,Low Value Customers
12991.0,23,2,503.76,68.92,43.98,43.98,2.39,Low Value Customers
12993.0,23,4,414.76,68.92,69.83,69.83,3.48,Medium Value Customer
12994.0,4,3,974.42,91.79,59.42,59.42,3.21,Medium Value Customer
12995.0,85,1,211.32,34.95,17.24,17.24,0.99,Lost Customers
12997.0,22,4,1226.89,70.25,69.83,69.83,3.49,Medium Value Customer
12999.0,196,3,455.88,17.76,59.42,59.42,2.66,Low Value Customers
13000.0,106,3,534.85,30.65,59.42,59.42,2.76,Low Value Customers
13001.0,4,13,9785.97,91.79,94.76,94.76,4.72,Top Customers
13002.0,318,1,120.95,4.26,17.24,17.24,0.76,Lost Customers
13003.0,105,3,149.05,30.91,59.42,59.42,2.76,Low Value Customers
13004.0,11,18,5655.91,81.94,97.08,97.08,4.74,Top Customers
13005.0,173,2,513.7,20.83,43.98,43.98,2.03,Low Value Customers
13006.0,56,1,81.57,47.29,17.24,17.24,1.09,Lost Customers
13008.0,323,1,229.47,3.77,17.24,17.24,0.76,Lost Customers
13011.0,372,1,50.55,0.64,17.24,17.24,0.74,Lost Customers
13012.0,9,8,1646.84,85.25,88.29,88.29,4.39,High value Customer
13013.0,1,13,4810.94,98.39,94.76,94.76,4.77,Top Customers
13014.0,10,10,3466.28,83.58,91.55,91.55,4.52,Top Customers
13015.0,53,5,3339.64,48.21,77.07,77.07,3.64,Medium Value Customer
13016.0,73,3,789.89,38.94,59.42,59.42,2.82,Low Value Customers
13017.0,7,1,204.0,88.77,17.24,17.24,1.4,Lost Customers
13018.0,16,28,7277.7,77.1,98.89,98.89,4.78,Top Customers
13021.0,4,9,2616.38,91.79,90.18,90.18,4.52,Top Customers
13023.0,64,2,689.9,43.16,43.98,43.98,2.19,Low Value Customers
13026.0,1,5,975.36,98.39,77.07,77.07,4.01,High value Customer
13027.0,113,6,6912.0,29.39,81.85,81.85,3.7,Medium Value Customer
13028.0,22,2,661.32,70.25,43.98,43.98,2.4,Low Value Customers
13029.0,30,3,1247.5,62.38,59.42,59.42,2.99,Low Value Customers
13030.0,11,2,752.44,81.94,43.98,43.98,2.48,Low Value Customers
13032.0,52,2,1010.18,48.92,43.98,43.98,2.24,Low Value Customers
13033.0,357,1,190.55,2.53,17.24,17.24,0.75,Lost Customers
13034.0,54,2,642.77,47.66,43.98,43.98,2.23,Low Value Customers
13035.0,73,2,921.88,38.94,43.98,43.98,2.16,Low Value Customers
13037.0,138,3,881.07,25.55,59.42,59.42,2.72,Low Value Customers
13038.0,80,3,908.46,36.17,59.42,59.42,2.8,Low Value Customers
13040.0,8,2,676.99,86.99,43.98,43.98,2.52,Low Value Customers
13043.0,273,1,516.42,8.47,17.24,17.24,0.8,Lost Customers
13044.0,291,1,560.47,6.5,17.24,17.24,0.78,Lost Customers
13045.0,99,1,305.28,31.68,17.24,17.24,0.97,Lost Customers
13046.0,30,2,629.31,62.38,43.98,43.98,2.34,Low Value Customers
13047.0,31,10,3237.54,61.31,91.55,91.55,4.35,High value Customer
13048.0,14,4,1819.41,79.64,69.83,69.83,3.57,Medium Value Customer
13049.0,64,2,656.68,43.16,43.98,43.98,2.19,Low Value Customers
13050.0,14,17,5836.86,79.64,96.71,96.71,4.71,Top Customers
13052.0,212,1,348.15,15.78,17.24,17.24,0.85,Lost Customers
13055.0,78,3,1214.41,36.92,59.42,59.42,2.8,Low Value Customers
13058.0,24,3,271.4,67.63,59.42,59.42,3.03,Medium Value Customer
13059.0,249,1,183.4,11.39,17.24,17.24,0.82,Lost Customers
13060.0,253,1,307.53,11.0,17.24,17.24,0.82,Lost Customers
13061.0,72,1,248.61,39.51,17.24,17.24,1.03,Lost Customers
13062.0,191,1,346.98,18.29,17.24,17.24,0.87,Lost Customers
